id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
601763,"The Alameda 2 Commuter Rail | 2BR 1BA | Brookline Area, free parking near Faulkner!",71783,Lance,,West Roxbury,42.29192,-71.15407,Entire home/apt,114,32,38,2020-08-28,0.89,42,0
611081,Houseboat in Boston Harbor,3029783,Deborah,,Charlestown,42.37579,-71.04981,Entire home/apt,267,2,38,2020-09-12,0.77,3,348
619142,Getaway in Historic Charlestown,501427,Joe,,Charlestown,42.37808,-71.06343,Entire home/apt,175,91,168,2019-10-25,1.69,1,312
646087,1 Bed in Charming Southie Townhouse near BCEC,3236611,Ingrid,,South Boston,42.33477,-71.04995,Private room,190,1,7,2019-06-13,0.13,1,0
658029,Trendy Fun Spot|Historic South End | 1BR 1BA #1,814298,Thatch,,Roxbury,42.33922,-71.08141,Entire home/apt,113,30,117,2019-09-16,1.20,92,0
697078,Spacious 1 bed facing State House,26988,Anne,,Beacon Hill,42.35893,-71.06331,Entire home/apt,85,91,19,2019-07-22,0.29,7,347
708802,Boston / Charlestown Apartment,3648427,Gerard  And Marie,,Charlestown,42.37755,-71.0628,Entire home/apt,182,2,374,2020-01-31,3.86,1,0
743211,Unique Find: At Home in the City!,2796082,Margaret,,Jamaica Plain,42.30581,-71.1126,Entire home/apt,571,3,70,2020-02-08,0.79,1,1
743759,AVAILABLE NOW: Private room & shared bath,7969,Carolyn,,Roslindale,42.29424,-71.13183,Private room,25,91,5,2019-09-30,0.05,2,365
753446,6 miles away from downtown Boston!,3962517,Sami,,Roslindale,42.28588,-71.12491,Private room,55,91,142,2019-07-27,2.31,1,365
771309,Room for rent in shared apartment,239850,Theodore,,Dorchester,42.30805,-71.04966,Private room,59,91,2,2019-09-19,0.03,1,335
798957,"★Discounted★ NearHospitals★2floors★ 2 Baths,2beds",1651480,Edward,,South End,42.34232,-71.07594,Entire home/apt,376,28,418,2020-08-01,4.64,4,25
801680,*$89 Special!  BOSTONS BEST!!* Minutes to Center*,8229,Terry,,Roxbury,42.32852,-71.09539,Entire home/apt,169,3,57,2020-03-30,0.60,6,1
801722,$79 Special!!  Minutes to Center!  Private Space,8229,Terry,,Roxbury,42.32819,-71.09405,Entire home/apt,149,3,54,2019-10-17,0.57,6,0
820073,"Modern Loft, 1700 SqFt. Location!",1911807,Kelly & Chris,,Downtown,42.3558,-71.06104,Entire home/apt,403,2,78,2020-03-03,0.86,2,98
826706,Private Room in Spacious Apartment3,1997048,ToRena,,Dorchester,42.29996,-71.0806,Private room,79,91,7,2015-09-29,0.08,4,0
839265,Private Room in Spacious Apartment2,1997048,ToRena,,Dorchester,42.29822,-71.07621,Private room,61,91,26,2019-09-30,0.28,4,363
849408,"Perfect & Practical Boston Rental (1,000+ sqft)",4434391,Damon,,Roslindale,42.28882,-71.13951,Entire home/apt,189,10,80,2020-08-16,4.89,3,0
863788,"Roof deck-city views. Walk everywhere! 2BR, 2 bath",775932,Andy & Daljit,,South End,42.34367,-71.0708,Entire home/apt,474,2,9,2020-01-01,0.10,1,0
891661,GORGEOUS WATER FRT NORTH END STUDIO,4737456,Paolo,,North End,42.36853,-71.05363,Entire home/apt,116,2,414,2020-09-06,4.51,1,1
894539,Private room in house,4762495,Jennifer,,Roslindale,42.2909,-71.13024,Private room,90,30,59,2020-01-31,0.70,2,259
901914,Upgraded South End Condo w/ Large Patio & Grill,4818556,Jay,,South End,42.34137,-71.0695,Entire home/apt,208,1,6,2020-09-13,4.39,1,66
962610,Convenient Boston Hotel Alternative,4434391,Damon,,West Roxbury,42.29053,-71.14106,Entire home/apt,95,4,95,2020-09-02,1.09,3,179
973695,"Boston Center, Sleeps 1 to 4 people",1760577,Claire,,Downtown,42.35929,-71.06086,Entire home/apt,257,91,60,2019-11-03,0.70,1,365
989163,THE UPTON BOSTON - The Dalton,5430185,Laura And Olivia,,South End,42.34308,-71.07316,Entire home/apt,137,3,54,2020-03-17,0.63,7,81
990668,✔Arlington✔Skydeck ✔Walk Score 95✔Full Kitchen,1651480,Edward,,South End,42.34232,-71.07595,Private room,163,3,293,2020-03-17,3.29,4,237
1009275,Urban Treehouse,868067,Laura,,South Boston,42.33269,-71.04536,Private room,120,1,85,2020-03-01,1.97,2,270
1030500,"Cozy apartment, free parking, quiet neighborhood",5670669,Kelly,,Jamaica Plain,42.29106,-71.11594,Entire home/apt,107,1,23,2020-09-25,0.26,1,0
1042420,"Easy access to Airport, Downtown, Seaport. Fenway",5715872,Charlotte,,East Boston,42.38362,-71.02023,Entire home/apt,174,2,87,2018-11-16,0.99,1,181
1055627,Spacious 1 bdrm in Beacon Hill,4299002,Lauren,,Beacon Hill,42.36076,-71.06399,Entire home/apt,160,91,8,2018-09-09,0.09,2,0
1071235,Cozy JP Studio-Great Location!,965697,Chris & Kristina,,Jamaica Plain,42.31748,-71.10819,Entire home/apt,136,2,327,2020-03-17,3.63,2,0
1077105,"Studio Apt. for Rent in South End,",5927277,J,,South End,42.34022,-71.075,Entire home/apt,176,91,0,,,1,0
1090413,QuietStreetHynesConventionCtr-5min-Lge Rm-Pvt Bath,1984434,Irene,,Back Bay,42.34502,-71.0803,Private room,102,3,166,2020-03-02,2.21,3,359
1090545,ExclusiveBackBayBostonCtr-Pvt Bath&Rm-Comfy Bed,1984434,Irene,,Back Bay,42.34373,-71.08224,Private room,105,3,117,2019-12-06,1.31,3,0
1092093,Duplex Penthouse in Longwood Area,26988,Anne,,Mission Hill,42.33285,-71.10115,Entire home/apt,90,91,32,2019-05-18,0.36,7,283
1109224,4 bedroom Victorian Condo unit,1531239,Lita,,Jamaica Plain,42.32051,-71.11216,Entire home/apt,448,2,75,2020-08-30,0.87,1,354
1161210,Cozy rooms with parking and Wi-Fi 波士顿近郊舒适的睡房附带免费。。,3887707,Emily,,West Roxbury,42.27176,-71.16759,Private room,70,28,209,2019-08-16,2.34,1,301
1167987,Long-term Rental: Single Room/Sh Bath/No Cooking,7969,Carolyn,,Roslindale,42.29317,-71.13016,Private room,26,91,8,2019-04-13,0.10,2,363
1171578,Private Room in a One Family House,3765817,Frank,,Brighton,42.35384,-71.16795,Private room,99,1,249,2019-12-06,2.88,1,1
1187188,Entire loft in Boston,2238969,Kenji,,Jamaica Plain,42.30693,-71.10789,Entire home/apt,136,91,28,2019-07-23,0.36,1,358
1222327,"Cozy, 2 bdr,  2 baths, house near medical area!",6668129,Chuck,,Jamaica Plain,42.32473,-71.10792,Entire home/apt,121,5,15,2019-10-12,0.23,1,0
1240598,"Studio by Tufts Medical, door knobs wiped daily",2356643,Voyage,,Downtown,42.35257,-71.0636,Entire home/apt,73,10,175,2020-08-24,1.97,15,297
1252489,Beacon Hill 1-Bed,6824319,Samantha,,Beacon Hill,42.36105,-71.06593,Entire home/apt,207,91,65,2017-08-28,0.73,1,0
1275498,THE UPTON BOSTON - The Washington,5430185,Laura And Olivia,,South End,42.34294,-71.07304,Entire home/apt,155,2,48,2020-09-09,0.55,7,0
1303261,Historic Beacon Hill,2120816,Larry,,Beacon Hill,42.3588,-71.06972,Entire home/apt,425,91,23,2018-10-25,0.27,1,358
1327725,Modern 2 BR in Brighton with Parking,7205617,Mikhail,,Brighton,42.346,-71.1399,Entire home/apt,93,3,259,2020-09-18,2.95,1,141
1340649,1BR in Charming South Boston Condo/Red Line/Beach,7271526,Michaela,,South Boston,42.32825,-71.05704,Private room,66,91,31,2019-10-26,0.42,1,90
1374434,"Authentic Boston, cozy room",255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,65,28,41,2020-03-31,0.48,4,213
1374466,"Real Boston, off the beaten track",255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,62,28,38,2019-12-31,0.46,4,0
1403408,Big Boston room,255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,70,28,19,2020-07-16,0.22,4,213
1425973,Historic brick Victorian row house,1015632,Kevin,,South End,42.33937,-71.08026,Private room,350,91,25,2019-09-06,0.29,1,89
1445064,Bright Sunlit bedroom near Spaulding/Downtown,4724006,Rosalia,,Charlestown,42.38017,-71.06236,Private room,49,28,105,2020-08-01,1.22,2,0
1454258,Inviting Queen Anne Victorian,7799789,Bruce,,Dorchester,42.30844,-71.0464,Private room,100,1,311,2019-11-05,3.57,3,365
1471308,Cozy Private Room Near Transit,7673571,Alexandra,,Mission Hill,42.33325,-71.10253,Private room,85,2,167,2020-03-06,1.92,1,179
1510876,Room with Sleeper Sofa Bed,7799789,Bruce,,Dorchester,42.31019,-71.04829,Private room,60,1,45,2019-08-09,0.52,3,365
1541166,Beautiful Studio 15 min to Downtown,552418,Vanya,,Charlestown,42.38159,-71.07892,Entire home/apt,109,5,39,2020-01-01,0.46,1,86
1544144,Charming Historic Home in Charlestown,7353037,Nancy And Tom,,Charlestown,42.37203,-71.06165,Entire home/apt,350,3,14,2020-08-03,0.48,1,342
1545185,"Large 1 Bed, Kitchen & Bath w/ Off Street Parking",697401,Nick,,Brighton,42.3484,-71.15696,Entire home/apt,80,2,123,2020-04-05,1.45,3,58
1596470,3-story Luxury in Central Location,213148462,Josefina,,Bay Village,42.34988,-71.06918,Entire home/apt,200,28,139,2018-12-28,1.63,1,66
1596664,"Fort Hill Top - 2Bk Private room,  brick townhouse",8513158,Kevin,,Roxbury,42.3256,-71.09413,Private room,49,60,20,2020-03-21,0.66,4,131
1644031,Large Private bedroom by Seaport,8725557,Brooke,,South Boston Waterfront,42.34017,-71.04763,Private room,96,1,260,2020-08-04,4.65,1,90
1668313,Room in Rozzie-Twin Bed-Full Bath,8834105,Rebecca,,Roslindale,42.28194,-71.13337,Private room,58,28,37,2020-07-01,0.44,2,365
1677807,"Sunny, welcoming 2 - bedroom condo in Boston",4192881,Julia,,Brighton,42.34923,-71.17173,Entire home/apt,100,3,47,2020-03-08,0.55,1,271
1682936,Charming 2 level Apartment,8898973,Adriana & Gianni,,Roxbury,42.32371,-71.09458,Entire home/apt,150,2,225,2020-09-07,2.81,2,360
1692573,Urban oasis trendy JP 'hood - suite,8814724,Kelly,,Jamaica Plain,42.31338,-71.11719,Entire home/apt,145,2,213,2020-08-12,2.52,1,335
1721016,Quiet Sunlit Attic Studio,7723912,Fj,,Roslindale,42.28607,-71.13236,Entire home/apt,106,30,7,2017-08-05,0.09,2,0
1724900,Charming sunlit house in Boston,7723912,Fj,,Roslindale,42.28291,-71.13268,Entire home/apt,120,28,43,2019-10-28,0.51,2,302
1732804,king sized bed/ Private room in a spacious condo,9090219,Thomas,,Dorchester,42.29041,-71.05853,Private room,60,1,126,2020-03-02,1.48,1,359
1754939,"Gorgeous, spacious townhouse in Boston",9228417,Alice,,Jamaica Plain,42.31227,-71.10086,Entire home/apt,130,1,18,2019-07-10,0.36,1,0
1757417,Queen in Arts & Crafts Bungalow,9241244,Keith (& Beth),,West Roxbury,42.2779,-71.14423,Private room,49,1,69,2019-10-08,1.15,3,0
1810172,Room for 2 in Rozzie - Full Bath,8834105,Rebecca,,Roslindale,42.28209,-71.13335,Private room,69,28,37,2019-10-12,0.44,2,365
1810397,3Bed/2.5Bath Luxury Triplex South End's Union Park,9485021,Stacy,,South End,42.34279,-71.0711,Entire home/apt,890,4,42,2020-03-09,0.55,1,361
1815326,Back Bay Elegance in Brighton,9508341,Phyllis,,Brighton,42.35509,-71.16242,Private room,99,1,302,2020-03-07,3.94,1,239
1819994,"RIVERVIEWS-Walk Everywhere! Central, Safe LOCATION",9529655,Suzanne,,Fenway,42.34947,-71.09265,Entire home/apt,265,91,2,2018-05-24,0.03,4,362
1821633,Queen Size Four Poster Bed,7799789,Bruce,,Dorchester,42.30958,-71.04792,Private room,100,1,211,2020-03-07,2.50,3,365
1863443,Perfect location in Fenway - washer/dryer & WIFI,9419684,Churchill,,Fenway,42.34411,-71.1013,Entire home/apt,169,29,6,2017-04-29,0.08,40,364
1873046,"Cute 1 Bedroom Apartment, Downtown Boston",2356643,Voyage,,Downtown,42.35284,-71.06261,Entire home/apt,125,2,129,2020-09-10,1.65,15,180
1881298,Private Apartment- Minutes from T!,1920539,Caitlin & Dan,,Jamaica Plain,42.30026,-71.11181,Entire home/apt,117,1,530,2020-09-26,6.57,1,0
1886037,Beautiful Penthouse in Beacon Hill,1587128,Daniel,,Beacon Hill,42.36056,-71.07141,Entire home/apt,239,91,1,2015-07-24,0.02,1,0
1944976,1 room with queen bed in Boston...,10060070,Diana,,Dorchester,42.31161,-71.04613,Private room,76,91,5,2015-09-06,0.08,1,0
1956275,"Beautiful 3 bd- 1.5 bath with parking, in Boston.",9622924,Emmanuel,,Jamaica Plain,42.30829,-71.12399,Entire home/apt,599,91,105,2019-05-20,1.29,1,0
2000797,"Sea view,balcony,15min by metro to center,safe st",9898255,Jessica,,Dorchester,42.31502,-71.06115,Private room,70,91,143,2019-11-03,1.88,5,365
2014651,One Private Bedroom in J.P.,2155838,Molly,,Jamaica Plain,42.30711,-71.10582,Private room,120,91,38,2019-09-02,0.46,1,365
2014882,1 bedroom and private bathroom,1521296,Yossi,,Brighton,42.34126,-71.15717,Private room,67,3,224,2020-03-15,2.93,2,0
2021483,Spacious Updated 2 Bed Boston Condo w/ Deck,10197317,Shannon,,South Boston,42.33535,-71.04741,Entire home/apt,650,1,8,2020-03-01,0.16,2,332
2022303,Great location! Modern 2BD 2 BA w/Parking,10393465,Gary,,South Boston,42.34179,-71.05274,Entire home/apt,264,2,198,2020-08-21,2.42,2,0
2108738,Back Bay Studio,10750832,Tom,,Back Bay,42.35046,-71.08894,Entire home/apt,70,91,34,2016-08-14,0.41,1,0
2126053,"Studio, w kitchenette, in owner's Beacon Hill home",10844648,Janet,,Beacon Hill,42.35672,-71.07147,Entire home/apt,145,5,105,2020-07-19,1.33,1,0
2141306,Modern 2Bd1BA in Downtown Boston,5355690,Kyle,,Downtown,42.35447,-71.06011,Entire home/apt,300,91,7,2017-06-18,0.09,1,0
2183058,Historic Boston North End Condo,11132080,Cindy & Mark,,North End,42.36429,-71.05452,Entire home/apt,195,91,169,2019-12-16,2.12,1,0
2183117,I bdrm in Boston/Allston/Brookline,11132354,Alla,,Allston,42.35159,-71.13347,Entire home/apt,125,30,48,2019-08-30,0.69,1,146
2215762,THE UPTON BOSTON - The Clare Suite,5430185,Laura And Olivia,,South End,42.34303,-71.07305,Entire home/apt,145,5,29,2020-03-15,0.37,7,83
2219399,Sunny Private Room & Bath in JP: Breakfast+Parking,1624549,Andrew,,Jamaica Plain,42.30073,-71.11431,Private room,112,2,182,2020-03-08,2.34,1,328
2277821,Sparkling New 2BR / 2BA in Back Bay,9410008,Jason,,Back Bay,42.34877,-71.08418,Entire home/apt,343,10,176,2020-09-26,2.23,15,349
2292495,furnished 1 bed apartment copley #5,9653086,Glenn,,South End,42.34125,-71.07604,Entire home/apt,75,28,69,2019-10-29,0.94,6,320
2372987,Modern South End Pied a Terre | 1BR 1BA,814298,Thatch,,South End,42.33671,-71.07546,Entire home/apt,144,28,88,2020-03-29,1.09,92,16
2378421,Light-filled Private Suite on Beautiful Street,12150111,A And L,,Jamaica Plain,42.31144,-71.11864,Entire home/apt,144,2,130,2019-12-07,1.66,3,0
2395326,* Brownstone Classic South End,12230539,Tim,,South End,42.34568,-71.07169,Entire home/apt,169,2,408,2020-09-10,5.10,2,5
2410846,Sunny Beacon Hill private 1 bedroom,3137257,Elyne,,Beacon Hill,42.35893,-71.06358,Entire home/apt,90,91,35,2019-11-02,0.46,1,307
2444202,Beacon Hill 1 bedroom apartment,51637,Susan,,Beacon Hill,42.3596,-71.06555,Entire home/apt,79,91,0,,,2,182
2495047,THE UPTON BOSTON - The Upton,5430185,Laura And Olivia,,South End,42.34309,-71.07316,Entire home/apt,148,4,29,2020-02-17,0.39,7,0
2526773,Charming comfort 1 BR / Studio,12165186,Masha,,Brighton,42.3438,-71.1563,Entire home/apt,52,91,14,2020-03-15,0.19,2,0
2583074,Cozy room in a charming villa.,13226301,Mohamed,,Roslindale,42.27965,-71.13606,Private room,40,2,40,2020-08-01,0.54,3,1
2658094,"Beautiful Boston NEnd spacious & Light 2Bd, 1BA-2D",5578043,Dror,,North End,42.36597,-71.05271,Entire home/apt,160,28,144,2020-09-03,1.88,4,1
2672058,"Modern loft, walk to subway",13565868,Christie,,Allston,42.35322,-71.13227,Private room,85,91,12,2016-09-09,0.15,1,0
2701124,Charlesview Suites Back Bay,13822322,Varouj,,Back Bay,42.34507,-71.08601,Entire home/apt,280,3,77,2019-09-27,1.04,1,350
2723274,Lofty Modern 2BD Apt 800 sq ft,8790904,Albert,,Bay Village,42.34868,-71.07043,Entire home/apt,200,2,26,2019-10-27,0.34,1,0
2737853,South End Chic,14008862,Mariel,,South End,42.34322,-71.07211,Entire home/apt,160,91,5,2015-07-06,0.06,1,0
2747654,"224 Tremont 2A · Great studio for social distance, natural light",2356643,Voyage,,Downtown,42.35033,-71.065,Entire home/apt,122,10,177,2020-07-10,2.28,15,350
2754975,Perfect Location to Explore Boston,6885890,Jonathan,,Beacon Hill,42.35757,-71.06366,Entire home/apt,150,180,100,2019-08-21,1.31,1,29
2794782,Green Home (Queen size bed),10273324,Steven,,Dorchester,42.28284,-71.07116,Private room,67,4,56,2019-12-31,0.72,2,0
2798599,Boston's Most Historic District!,14099596,Robert,,Charlestown,42.37407,-71.06016,Entire home/apt,149,91,52,2020-03-14,1.45,1,0
2811937,Green Home (Full size bed),10273324,Steven,,Dorchester,42.28439,-71.06912,Private room,67,4,72,2019-11-30,0.93,2,0
2843445,"""Tranquility"" on ""Top of the Hill""",3164508,Marilyn,,Roslindale,42.28195,-71.14102,Private room,85,91,75,2017-12-31,0.97,2,365
2881388,3BR / 2BA + Prvt Deck in Back Bay,9410008,Jason,,Back Bay,42.34877,-71.08418,Entire home/apt,406,10,184,2020-08-08,2.39,15,352
2886933,BEAUTIFUL SINGLE FAMILY VICTORIAN in Hyde Park!,13776857,Katy,,Hyde Park,42.26118,-71.11989,Entire home/apt,229,2,93,2019-11-30,1.20,1,1
2892825,Luxury Sunny Hill Garden Townhouse Suite 1,14785487,Aihua,,Roxbury,42.31018,-71.08543,Entire home/apt,471,28,14,2019-08-31,0.20,4,364
2963419,Garden Oasis #1,15123694,Lucia,,Jamaica Plain,42.31804,-71.11687,Private room,95,91,27,2019-06-27,0.35,1,0
3068453,"224 Tremont St 3C · Large Studio, building door knobs cleaned daily",2356643,Voyage,,Downtown,42.35258,-71.06417,Entire home/apt,61,10,196,2020-09-11,2.56,15,347
3164650,2bd APT 20min from Downtown Boston,16052189,Jonathan,,Hyde Park,42.23597,-71.13151,Entire home/apt,98,91,33,2019-08-01,0.44,8,1
3193484,Very Short Walk to the Red Line!,16186589,Marie,,Dorchester,42.28819,-71.06921,Private room,40,30,7,2019-09-15,0.12,25,365
3229255,1bd Boston apt - Convenient & quiet,16343599,Ella & Will,,Roslindale,42.28703,-71.13354,Entire home/apt,135,3,117,2020-03-16,1.56,1,0
3294152,"Garden Suite near subway, beach",9898255,Jessica,,Dorchester,42.31503,-71.06214,Entire home/apt,120,91,202,2019-12-01,2.66,5,365
3309941,*Prime Location* in the heart of Fenway w/WiFi,9419684,Churchill,,Fenway,42.34411,-71.1013,Entire home/apt,229,29,28,2018-10-09,0.38,40,0
3325306,Quiet Southie 2bd Near the Beach and Broadway,10849730,Kara,,South Boston,42.33489,-71.03295,Entire home/apt,75,28,21,2019-09-02,0.27,1,0
3343428,Brownstone Bedroom Park & Garden Views by LMA & T,11228809,Jonathan,,Roxbury,42.32953,-71.09275,Private room,120,2,236,2020-09-01,4.09,6,160
3344322,"Eagle Sea view,15min metro ride to center,safe st!",9898255,Jessica,,Dorchester,42.31322,-71.0617,Private room,70,91,93,2019-11-23,1.23,5,365
3414993,Gorgeous Condo w Huge Patio Back Bay Boston Common,7849580,Ann-Marie,,Downtown,42.35155,-71.06816,Entire home/apt,350,91,0,,,1,0
3441982,New Stylish Modern Studio,13819661,Jen,,Roxbury,42.31943,-71.09432,Entire home/apt,97,2,119,2020-06-30,4.91,1,0
3457722,"Sunlit w/ huge kitchen, parking & easy to downtown",6209951,Jeff And Rachel,,Brighton,42.35457,-71.15949,Entire home/apt,210,3,48,2020-03-17,0.64,1,0
3463914,4th of July Dream Spot!,17452489,Nathaniel,,Back Bay,42.35049,-71.08826,Entire home/apt,248,91,27,2016-07-17,0.36,1,0
3493840,"Beautiful, Comfortable and Cozy",11554621,Gretjen,,Jamaica Plain,42.305,-71.10719,Private room,98,31,7,2020-03-15,0.10,1,271
3520353,Luxury Beacon Hill Apartment 1-BR,6508758,Xerxes,,Beacon Hill,42.3578,-71.06304,Entire home/apt,188,91,251,2020-01-01,3.35,1,255
3521944,"Beautiful, Quiet, and Safe!",17735272,David,,West Roxbury,42.29714,-71.15829,Entire home/apt,119,91,4,2014-09-14,0.05,1,0
3522237,Harmonious and friendly place,17736943,Drusilla,,Dorchester,42.30582,-71.08273,Private room,42,3,83,2020-09-04,1.38,2,349
3539510,The Roseclair | 3BR 1BA | 2nd Floor near UMass Boston Redline T station!,71783,Lance,,Dorchester,42.32213,-71.06094,Entire home/apt,129,32,31,2019-06-13,0.43,42,248
3544343,Beacon Hill!! Feet Fom State House,17843002,Christian,,Downtown,42.35844,-71.06153,Entire home/apt,100,91,0,,,1,0
3575220,The Artist room in beautiful villa.,13226301,Mohamed,,Roslindale,42.28028,-71.13587,Private room,50,2,23,2020-01-15,0.31,3,211
3602379,"Modern, Spacious 1BR for 4 - Easy Marathon Access!",18150109,Alex,,Roxbury,42.32909,-71.09457,Entire home/apt,167,91,254,2019-11-16,3.49,4,288
